Date,Open,High,Low,Close,Adj Close,Volume
,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,,BOSCHLTD.NS
2016-01-19,16184.373579541296,16407.493726401146,16094.898418386696,16335.7509765625,,34476
2016-01-20,16325.865057736715,16502.728595862198,16023.473402873356,16234.078125,,17630
2016-01-21,16325.864511757298,16423.683295662977,15741.580669318831,15850.2373046875,,20116
2016-01-22,15963.06694311265,16105.69150429472,15628.29638782118,15694.5068359375,,31882
2016-01-25,15781.712372092446,15937.759337331778,15635.413802790315,15859.53125,,7935
2016-01-27,15908.64612660021,15985.604074691837,15636.594474545253,15676.275390625,,10885
2016-01-28,15709.106958269183,15825.111630112862,15287.355530117036,15379.0078125,,16747
2016-01-29,15410.709192786366,16035.580951879629,15410.709192786366,15868.6943359375,,16908
2016-02-01,16008.417377226033,16134.39898782007,15569.433014020515,15589.75,,12459
2016-02-02,15645.619340055753,15700.038885586382,15380.64114864895,15430.4814453125,,13295
2016-02-03,15328.172249945703,15385.086025607483,15106.005160153416,15187.0888671875,,9577
2016-02-04,15237.519288634769,15524.98983840304,15155.843909546931,15399.6884765625,,12855
2016-02-05,15654.689186280648,16008.416230466595,14421.179493734779,14592.69140625,,107805
2016-02-08,14765.837282806759,15033.400059122974,14647.928262735206,14870.3681640625,,30932
2016-02-09,14845.653262875523,14921.070043660677,14602.806020626322,14833.2724609375,,11931
2016-02-10,14788.510623555054,14880.116853115253,14666.111825822472,14859.9814453125,,13816
2016-02-11,14919.119434795673,14919.119434795673,14602.715459657522,14738.6279296875,,21390
2016-02-12,14738.627100055177,14919.979529230784,14272.478159949856,14464.9873046875,,17733
2016-02-15,14647.928242223761,15237.473341755986,14462.629859625442,14917.44140625,,16414
2016-02-16,14917.30487475699,14999.524094916833,14647.8829437355,14700.6240234375,,13556
2016-02-17,14720.486656465937,14809.371911692904,14376.554961134641,14639.6279296875,,11680
2016-02-18,14793.954756452578,14906.058675832686,14694.457501457351,14856.900390625,,9942
2016-02-19,14915.49221940507,15328.17382231351,14738.673847781167,15241.1025390625,,11596
2016-02-22,15328.174596728799,15860.533182788775,15319.104670931918,15704.3037109375,,31902
2016-02-23,15736.592294561671,15827.018736001268,15192.1240016058,15281.099609375,,14972
2016-02-24,15237.474483769987,15417.965997000358,14965.376725131238,14983.697265625,,10987
2016-02-25,15054.260184913835,15182.055771166682,14612.55487643974,14815.8115234375,,21483
2016-02-26,14929.097142170582,15218.427761147035,14920.027216810819,15156.888671875,,12944
2016-02-29,15173.984431598788,15624.940391235104,14853.725736114038,15179.8798828125,,24574
2016-03-01,15355.335719498979,15544.399353648494,15183.370309761385,15441.5,,10614
2016-03-02,15518.643176529886,15636.552212938353,15219.335622569928,15306.2705078125,,13565
2016-03-03,15600.27222876797,15758.99592876997,15292.80174704981,15679.951171875,,12129
2016-03-04,15808.87702685314,15808.87702685314,15476.781415910807,15653.0107421875,,11294
2016-03-08,15601.178058762005,15917.718442606429,15541.679704803246,15819.0830078125,,13039
2016-03-09,15819.128376773497,16324.957365544611,15599.862948520793,16265.0498046875,,20095
2016-03-10,16441.048577732425,16441.048577732425,16055.576870029203,16215.2978515625,,7613
2016-03-11,16271.261571721028,16545.353942924517,16190.719944915336,16340.646484375,,26563
2016-03-14,16461.91100107345,16705.574847953474,16099.114064410676,16317.69921875,,17159
2016-03-15,16325.860515687767,16513.20047369298,16161.831321411497,16442.455078125,,13525
2016-03-16,16552.61479847419,16597.964428059055,16244.237317297138,16355.2978515625,,27771
2016-03-17,16505.449323831413,16597.055565270417,16418.424103052243,16512.478515625,,21391
2016-03-18,16548.07744036077,17096.8078789148,16327.814675641732,17027.966796875,,43610
2016-03-21,16991.689010186816,17668.215116823638,16991.689010186816,17550.986328125,,29607
2016-03-22,17568.442785411175,18511.71488127218,17530.983290708882,18296.39453125,,38670
2016-03-23,18275.899099248792,18632.89099733521,18081.34920561163,18337.12109375,,35765
2016-03-28,18275.895577277057,18720.45822522862,18139.84672682586,18545.318359375,,25311
2016-03-29,18458.208485419207,18765.679011514098,18458.208485419207,18672.439453125,,14726
2016-03-30,18756.423488289576,18898.231405913473,18571.033874129927,18804.85546875,,14843
